Stellar Spectroscopy and Classification - Mystery Star 2	
7248.4	6915.615234
7249.2	7093.563965
7250	6879.48584
7250.8	6697.591797
7251.6	6734.527344
7252.4	6038.690918
7253.2	5082.479492
7254	5379.916992
7254.8	6197.696289
7255.6	6910.340332
7256.4	6944.15625
7257.2	6621.116699
7258	6192.779297
7258.8	6279.484863
7259.6	6646.636719
7260.4	6580.908203
7261.2	6147.217773
7262	5966.868164
7262.8	6261.671875
7263.6	6489.143066
7264.4	6231.343262
7265.2	5414.208984
7266	5347.233398
7266.8	6329.40918
7267.6	6977.385742
7268.4	7025.098633
7269.2	6912.44043
7270	6543.970215
7270.8	6678.504883
7271.6	6842.219727
7272.4	6609.32666
7273.2	5862.280762
7274	6031.102051
7274.8	6444.855957
7275.6	5956.853516
7276.4	5557.474609
7277.2	5156.327637
7278	5317.652832
7278.8	5974.480957
7279.6	6698.91748
7280.4	6835.254395
7281.2	6956.933105
7282	6831.817871
7282.8	6611.672852
7283.6	6854.423828
7284.4	7160.933105
7285.2	7196.131836
7286	7372.918945
7286.8	7247.238281
7287.6	6533.296387
7288.4	6174.531738
7289.2	6453.439453
7290	6542.063477
7290.8	5958.496094
7291.6	6220.371094
7292.4	6572.015625
7293.2	6640.609375
7294	7010.567383
7294.8	7079.803223
7295.6	6987.12207
7296.4	7381.864258
7297.2	7723.783203
7298	7928.156738
7298.8	7827.469727
7299.6	7470.634277
7300.4	7033.037598
7301.2	7336.020996
7302	7306.108887
7302.8	6835.072754
7303.6	6285.927734
7304.4	6251.185059
7305.2	6843.05957
7306	7499.862305
7306.8	7614.669922
7307.6	7502.535645
7308.4	7389.484375
7309.2	6874.693848
7310	6629.902832
7310.8	6635.227539
7311.6	6778.941406
7312.4	7047.422852
7313.2	7003.703613
7314	7218.179688
7314.8	7403.371582
7315.6	7107.893066
7316.4	7069.374023
7317.2	6978.146973
7318	6509.808105
7318.8	6319.477051
7319.6	6892.909668
7320.4	7198.706543
7321.2	7101.565918
7322	7662.427734
7322.8	7576.705566
7323.6	7566.700684
7324.4	7380.233887
7325.2	7409.17627
7326	7298.722656
7326.8	7220.47998
7327.6	7189.675781
7328.4	7452.288574
7329.2	7662.659668
7330	7832.39209
7330.8	7657.725098
7331.6	7655.579102
7332.4	7980.884277
7333.2	7765.811035
7334	7654.458984
7334.8	7824.293457
7335.6	8130.096191
7336.4	8308.331055
7337.2	8528.119141
7338	8555.179688
7338.8	8795.901367
7339.6	8749.391602
7340.4	8622.295898
7341.2	8588.118164
7342	8341.078125
7342.8	8292.793945
7343.6	8070.022461
7344.4	7792.274414
7345.2	7531.42627
7346	7773.256836
7346.8	7818.477539
7347.6	7595.927734
7348.4	7518.616211
7349.2	7369.154297
7350	7371.165527
7350.8	7468.770508
7351.6	7761.922363
7352.4	7935.197266
7353.2	8083.152832
7354	8041.544922
7354.8	8221.935547
7355.6	8213.936523
7356.4	8080.418945
7357.2	8426.782227
7358	8555.734375
7358.8	8817.546875
7359.6	8808.55957
7360.4	8671.421875
7361.2	8359.525391
7362	8345.326172
7362.8	8369.330078
7363.6	8467.43457
7364.4	8466.9375
7365.2	8547.03125
7366	8422.480469
7366.8	8523.349609
7367.6	8584.370117
7368.4	8473.938477
7369.2	8146.740234
7370	8327.878906
7370.8	8367.787109
7371.6	8508.369141
7372.4	8485.814453
7373.2	8503.693359
7374	8485.001953
7374.8	8248.345703
7375.6	8229.237305
7376.4	8313.146484
7377.2	8455.388672
7378	8505.443359
7378.8	8548.673828
7379.6	8643.264648
7380.4	8568.978516
7381.2	8299.024414
7382	8041.958008
7382.8	7823.978516
7383.6	7764.888672
7384.4	7826.043945
7385.2	7951.479004
7386	7745.769531
7386.8	7540.342773
7387.6	7740.869141
7388.4	7586.65332
7389.2	7563.753418
7390	7608.936523
7390.8	7848.536621
7391.6	7844.155273
7392.4	7977.818359
7393.2	7742.856445
7394	7421.174316
7394.8	7696.48291
7395.6	7830.598145
7396.4	7716.300293
7397.2	7672.275879
7398	7709.558594
7398.8	7751.13623
7399.6	7869.201172
7400.4	7650.43457
7401.2	7589.870117
7402	7806.047363
7402.8	8077.299316
7403.6	8342.047852
7404.4	8398.821289
7405.2	8628.43457
7406	8323.921875
7406.8	8588.675781
7407.6	8915.975586
7408.4	8831.734375
7409.2	8382.749023
7410	8383.495117
7410.8	8332.119141
7411.6	8236.833984
7412.4	8406.417969
7413.2	8527.606445
7414	8200.114258
7414.8	7957.645996
7415.6	7831.85791
7416.4	7813.437988
7417.2	8124.500977
7418	8376.930664
7418.8	8334.724609
7419.6	8408.587891
7420.4	8662.298828
7421.2	8712.833984
7422	8384.475586
7422.8	8303.569336
7423.6	8233.569336
7424.4	8455.837891
7425.2	8738.458984
7426	8897.84375
7426.8	8831.791992
7427.6	8795.998047
7428.4	8811.290039
7429.2	8708.211914
7430	8930.331055
7430.8	8591.481445
7431.6	8584.451172
7432.4	8738.673828
7433.2	8954.161133
7434	9033.348633
7434.8	9036.490234
7435.6	8872.625977
7436.4	8698.652344
7437.2	8845.617188
7438	8545.583984
7438.8	8767.203125
7439.6	8549.296875
7440.4	8360.148438
7441.2	8216.271484
7442	8412.744141
7442.8	8429.723633
7443.6	8332.089844
7444.4	8291.364258
7445.2	8476.625977
7446	8093.932129
7446.8	8193.855469
7447.6	8284.78418
7448.4	8303.321289
7449.2	8358.511719
7450	8350.334961
7450.8	8442.316406
7451.6	8498.578125
7452.4	8448.291016
7453.2	8436.1875
7454	8454.102539
7454.8	8408.539062
7455.6	8398.758789
7456.4	8387.742188
7457.2	8379.96875
7458	8372.263672
7458.8	8406.548828
7459.6	8363.007812
7460.4	8393.264648
7461.2	8380.735352
7462	8089.36084
7462.8	7889.980957
7463.6	7999.997559
7464.4	8048.499512
7465.2	8016.899902
7466	7973.024414
7466.8	7862.000488
7467.6	7809.493164
7468.4	7807.477539
7469.2	7893.745117
7470	7920.082031
7470.8	7785.230957
7471.6	8050.901367
7472.4	8092.75
7473.2	7970.874512
7474	8035.518555
7474.8	8258.226562
7475.6	8507.257812
7476.4	8584.453125
7477.2	8743.03418
7478	8999.470703
7478.8	9058.714844
7479.6	9128.419922
7480.4	9310.553711
7481.2	9132.192383
7482	9131.385742
7482.8	8910.276367
7483.6	8797.15332
7484.4	8604.28125
7485.2	8474.111328
7486	8423.714844
7486.8	8261.791992
7487.6	8256.985352
7488.4	8070.690918
7489.2	8037.018066
7490	8187.210938
7490.8	8281.743164
7491.6	8030.999023
7492.4	7838.046387
7493.2	8053.723633
7494	8099.797363
7494.8	7785.214355
7495.6	7693.492676
7496.4	8100.871582
7497.2	8390.947266
7498	8332.386719
7498.8	8414.106445
7499.6	8549.411133
7500.4	8742.672852
