Stellar Spectroscopy and Classification - Mystery Star 1			
Note that the main hydrogen line at 6563 angstroms is showing both absorption and emission. hence it looks a bit strange. Expect questions from your class.			
Date of Observation:	31-07-2010		
7149.2	9865.426758		
7150	9618.869141		
7150.8	9239.669922		
7151.6	9278.210938		
7152.4	9395.732422		
7153.2	9494.787109		
7154	9630.867188		
7154.8	9581.977539		
7155.6	9355.491211		
7156.4	9247.515625		
7157.2	9136.039062		
7158	9178.763672		
7158.8	8803.930664		
7159.6	8767.457031		
7160.4	8920.084961		
7161.2	9045.693359		
7162	8960.445312		
7162.8	8774.140625		
7163.6	8837.692383		
7164.4	8598.613281		
7165.2	8790.155273		
7166	8800.483398		
7166.8	8512.77832		
7167.6	7928.942871		
7168.4	8038.579102		
7169.2	8643.878906		
7170	8294.509766		
7170.8	7790.15918		
7171.6	8441.050781		
7172.4	8149.470215		
7173.2	7171.664551		
7174	7072.791016		
7174.8	8166.515137		
7175.6	8377.192383		
7176.4	7710.783203		
7177.2	6728.863281		
7178	6752.475586		
7178.8	7965.204102		
7179.6	8474.524414		
7180.4	8621.426758		
7181.2	7761.125977		
7182	6918.851074		
7182.8	7818.432617		
7183.6	8110.29248		
7184.4	6520.875488		
7185.2	6050.918945		
7186	6157.271484		
7186.8	5101.970703		
7187.6	5290.538086		
7188.4	6665.261719		
7189.2	7435.900391		
7190	7517.995605		
7190.8	6946.537598		
7191.6	5603.921387		
7192.4	5601.523926		
7193.2	5965.46582		
7194	5781.738281		
7194.8	6464.672852		
7195.6	6927.496582		
7196.4	7270.296387		
7197.2	7017.752441		
7198	6555.140625		
7198.8	6844.296875		
7199.6	7153.505371		
7200.4	6089.44043		
7201.2	5219.855957		
7202	6122.591309		
7202.8	6941.050781		
7203.6	6721.360352		
7204.4	5702.306152		
7205.2	6102.068359		
7206	6150.198242		
7206.8	5805.349609		
7207.6	6542.026855		
7208.4	6949.779297		
7209.2	6497.947754		
7210	6412.612305		
7210.8	6554.884277		
7211.6	6595.205078		
7212.4	6915.063965		
7213.2	6865.821289		
7214	6946.120605		
7214.8	6823.384277		
7215.6	6814.873047		
7216.4	6495.416016		
7217.2	6597.382812		
7218	6884.163086		
7218.8	6984.430176		
7219.6	7200.479004		
7220.4	7181.429199		
7221.2	7116.866211		
7222	7114.572754		
7222.8	6853.644531		
7223.6	6234.945312		
7224.4	6444.628418		
7225.2	6907.017578		
7226	6951.963379		
7226.8	6730		
7227.6	6328.743652		
7228.4	6430.744629		
7229.2	6802.867188		
7230	6930.819824		
7230.8	6763.062988		
7231.6	6593.668945		
7232.4	5670.48291		
7233.2	5209.168457		
7234	5458.138672		
7234.8	4899.167969		
7235.6	5150.505859		
7236.4	5525.176758		
7237.2	5949.395996		
7238	6392.756348		
7238.8	6329.265625		
7239.6	5876.864258		
7240.4	4950.480957		
7241.2	4667.140137		
7242	5772.501953		
7242.8	5988.264648		
7243.6	5110.369141		
7244.4	5159.564941		
7245.2	5678.915039		
7246	5511.449219		
7246.8	5487.871582		
7247.6	5651.966309		
7248.4	5884.558594		
7249.2	5859.883301		
7250	5736.305664		
7250.8	5815.59375		
7251.6	5745.884766		
7252.4	4967.835449		
7253.2	4312.594727		
7254	4789.455078		
7254.8	5886.996582		
7255.6	6403.694336		
7256.4	6249.66748		
7257.2	5941.936035		
7258	5673.509277		
7258.8	6164.111816		
7259.6	6547.477051		
7260.4	6530.061523		
7261.2	6482.543457		
7262	6405.175781		
7262.8	6409.726074		
7263.6	6323.437988		
7264.4	5942.091797		
7265.2	5254.036621		
7266	5322.947266		
7266.8	6157.76709		
7267.6	6593.418457		
7268.4	6452.808594		
7269.2	6089.891602		
7270	5732.291016		
7270.8	5942.189453		
7271.6	6215.223633		
7272.4	6079.900879		
7273.2	5375.869141		
7274	5832.962402		
7274.8	6290.824707		
7275.6	5754.61084		
7276.4	5373.414062		
7277.2	5010.800293		
7278	5299.933105		
7278.8	6241.345215		
7279.6	6755.963867		
7280.4	6786.140625		
7281.2	6858.008301		
7282	6813.505371		
7282.8	6868.644043		
7283.6	7123.303223		
7284.4	7321.814453		
7285.2	7115.417969		
7286	7008.104492		
7286.8	6658.693848		
7287.6	5934.48877		
7288.4	5886.360352		
7289.2	6443.91748		
7290	5891.230469		
7290.8	5092.373047		
7291.6	5413.098633		
7292.4	5720.202637		
7293.2	5893.731934		
7294	6038.649902		
7294.8	5869.17334		
7295.6	5860.308594		
7296.4	6263.391113		
7297.2	6419.255859		
7298	6823.09082		
7298.8	6728.314941		
7299.6	6361.048828		
7300.4	6278.413574		
7301.2	6650.304688		
7302	6564.251953		
7302.8	5985.90918		
7303.6	5663.51123		
7304.4	5710.697754		
7305.2	6381.004883		
7306	6820.601562		
7306.8	7183.718262		
7307.6	7229.072754		
7308.4	6883.852539		
7309.2	6181.709473		
7310	5902.10498		
7310.8	6358.365234		
7311.6	6733.864258		
7312.4	6804.919922		
7313.2	6731.020996		
7314	7079.653809		
7314.8	7316.447266		
7315.6	6940.040527		
7316.4	7067.412598		
7317.2	6896.070312		
7318	6583.712891		
7318.8	6349.958008		
7319.6	7064.394043		
7320.4	7695.100098		
7321.2	7422.137207		
7322	7652.42041		
7322.8	7715.422363		
7323.6	7643.737793		
7324.4	7503.327637		
7325.2	7565.691895		
7326	7835.922363		
7326.8	7450.737305		
7327.6	7370.598633		
7328.4	7379.311035		
7329.2	7763.100098		
7330	7655.62207		
7330.8	7334.22168		
7331.6	7380.893555		
7332.4	7394.413086		
7333.2	7026.384766		
7334	7008.373535		
7334.8	7141.466309		
7335.6	7215.009766		
7336.4	7254.567383		
7337.2	7464.091797		
7338	7638.631348		
7338.8	7703.907227		
7339.6	7624.832031		
7340.4	7663.90625		
7341.2	7616.096191		
7342	7440.67334		
7342.8	7409.558594		
7343.6	7241.309082		
7344.4	7183.192383		
7345.2	7206.955566		
7346	7399.827637		
7346.8	7406.366699		
7347.6	7417.418945		
7348.4	7247.023926		
7349.2	7198.754395		
7350	6904.314453		
7350.8	7265.992676		
7351.6	7590.98291		
7352.4	7416.523438		
7353.2	7537.17041		
7354	7292.004395		
7354.8	7529.233398		
7355.6	7511.590332		
7356.4	7505.712402		
7357.2	7232.869141		
7358	7440.450195		
7358.8	7639.155273		
7359.6	7500.150391		
7360.4	7254.191895		
7361.2	7205.867188		
7362	7324.084961		
7362.8	7607.465332		
7363.6	7555.212891		
7364.4	7426.821289		
7365.2	7610.10498		
7366	7530.131348		
7366.8	7666.312988		
7367.6	7930.364258		
7368.4	7585.233398		
7369.2	7374.521484		
7370	7777.903809		
7370.8	7912.302246		
7371.6	7847.10791		
7372.4	7833.466309		
7373.2	7922.188477		
7374	7859.256348		
7374.8	8009.847656		
7375.6	8127.200195		
7376.4	8127.370117		
7377.2	8187.478027		
7378	8296.130859		
7378.8	8223.306641		
7379.6	8062.815918		
7380.4	8110.634766		
7381.2	7959.335449		
7382	7898.085449		
7382.8	7831.341309		
7383.6	7651.784668		
7384.4	7798.639648		
7385.2	7934.680664		
7386	7998.898926		
7386.8	8029.066406		
7387.6	7902.395996		
7388.4	7895.197266		
7389.2	7744.428711		
7390	7756.686035		
7390.8	7617.24707		
7391.6	7620.896484		
7392.4	7800.782715		
7393.2	7931.307617		
7394	8021.155762		
7394.8	7972.475586		
7395.6	8047.091797		
7396.4	7795.072266		
7397.2	7802.272949		
7398	8008.214844		
7398.8	7997.352051		
7399.6	8108.491211		
7400.4	7990.380371		
7401.2	7948.272461		
7402	7864.670898		
7402.8	7824.21582		
7403.6	7720.366211		
7404.4	7622.287109		
7405.2	7536.120117		
7406	7448.526855		
7406.8	7590.281738		
7407.6	7487.721191		
7408.4	7547.004883		
7409.2	7473.760742		
7410	7422.928711		
7410.8	7314.507812		
7411.6	7388.05957		
7412.4	7602.351562		
7413.2	7670.307617		
7414	7810.760742		
7414.8	7817.501953		
7415.6	7833.652344		
7416.4	7836.634277		
7417.2	7913.585938		
7418	7951.708496		
7418.8	7881.733398		
7419.6	7843.84082		
7420.4	7958.549805		
7421.2	7953.694336		
7422	7985.326172		
7422.8	8038.438477		
7423.6	8070.039551		
7424.4	8151.408691		
7425.2	7933.604004		
7426	8089.785645		
7426.8	8183.02002		
7427.6	8222.420898		
7428.4	8384.583008		
7429.2	8344.06543		
7430	8343.738281		
7430.8	8402.318359		
7431.6	8467.214844		
7432.4	8307.375		
7433.2	8275.292969		
7434	8213.710938		
7434.8	7994.305664		
7435.6	7712.799805		
7436.4	7630.153809		
7437.2	7664.950195		
7438	7487.617188		
7438.8	7398.800781		
7439.6	7323.079102		
7440.4	7365.959473		
7441.2	7387.91748		
7442	7454.264648		
7442.8	7390.145508		
7443.6	7425.508789		
7444.4	7523.714355		
7445.2	7598.554688		
7446	7596.596191		
7446.8	7568.67334		
7447.6	7604.894043		
7448.4	7736.713379		
7449.2	7820.773438		
7450	7742.819824		
7450.8	7855.553711		
7451.6	7858.29248		
7452.4	7908.337891		
7453.2	7825.540039		
7454	7825.14209		
7454.8	7994.467773		
7455.6	7878.661621		
7456.4	7928.422363		
7457.2	8017.710449		
7458	7922.737305		
7458.8	7971.40332		
7459.6	8052.60791		
7460.4	8027.777832		
7461.2	8079.49707		
7462	8235.576172		
7462.8	7970.341309		
7463.6	8091.280273		
7464.4	7713.737793		
7465.2	7763.637695		
7466	7694.417969		
7466.8	7707.715332		
7467.6	7796.04541		
7468.4	7856.570312		
7469.2	7838.054688		
7470	7814.728027		
7470.8	7766.888672		
7471.6	7713.727051		
7472.4	7814.070312		
7473.2	7853.083008		
7474	7938.289551		
7474.8	7851.028809		
7475.6	7936.567383		
7476.4	7950.24707		
7477.2	7939.209961		
7478	7960.832031		
7478.8	7933.519043		
7479.6	7733.162598		
7480.4	7745.689453		
7481.2	7743.716797		
7482	7934.248047		
7482.8	8129.223145		
7483.6	8069.523926		
7484.4	8185.055664		
7485.2	8062.04834		
7486	7916.319824		
7486.8	7883.304688		
7487.6	7874.197266		
7488.4	7838.981934		
7489.2	7746.668945		
7490	7523.163086		
7490.8	7367.636719		
7491.6	7391.131836		
7492.4	7397.521973		
7493.2	7234.737305		
7494	7225.958008		
7494.8	7113.766602		
7495.6	7094.374512		
7496.4	7215.215332		
7497.2	7076.131836		
7498	7120.341309		
7498.8	7133.682129		
7499.6	6988.315918		
7500.4	7023.141602		
